team_abbr,team_name,league,division
ARI,Arizona Diamondbacks,NL,West
ATL,Atlanta Braves,NL,East
BAL,Baltimore Orioles,AL,East
BOS,Boston Red Sox,AL,East
CHC,Chicago Cubs,NL,Central
CHW,Chicago White Sox,AL,Central
CIN,Cincinnati Reds,NL,Central
CLE,Cleveland Guardians,AL,Central
COL,Colorado Rockies,NL,West
DET,Detroit Tigers,AL,Central
HOU,Houston Astros,AL,West
KCR,Kansas City Royals,AL,Central
LAA,Los Angeles Angels,AL,West
LAD,Los Angeles Dodgers,NL,West
MIA,Miami Marlins,NL,East
MIL,Milwaukee Brewers,NL,Central
MIN,Minnesota Twins,AL,Central
NYM,New York Mets,NL,East
NYY,New York Yankees,AL,East
OAK,Oakland Athletics,AL,West
PHI,Philadelphia Phillies,NL,East
PIT,Pittsburgh Pirates,NL,Central
SDP,San Diego Padres,NL,West
SEA,Seattle Mariners,AL,West
SFG,San Francisco Giants,NL,West
STL,St. Louis Cardinals,NL,Central
TBR,Tampa Bay Rays,AL,East
TEX,Texas Rangers,AL,West
TOR,Toronto Blue Jays,AL,East
WSN,Washington Nationals,NL,East
